year,level_1,level_2,value
1970,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,2.6
1970,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,0.8
1980,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,3.6
1980,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,1.3
1990,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,3.8
1990,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.2
1995,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,4.2
1995,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.3
2000,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,4.7
2000,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.4
2001,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,4.8
2001,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.6
2002,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,4.7
2002,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.7
2003,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,4.7
2003,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.6
2004,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,4.9
2004,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.8
2005,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.1
2005,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,2.9
2006,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.3
2006,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.1
2007,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.4
2007,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.2
2008,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.4
2008,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.3
2009,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.5
2009,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.4
2010,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.4
2010,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.6
2011,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,5.6
2011,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.7
2012,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,6.1
2012,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,3.8
2013,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,6.5
2013,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,4
2014,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,6.9
2014,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,4.2
2015,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,7.3
2015,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,4.5
2016,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,7.7
2016,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,4.7
2017,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,8.2
2017,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,4.9
2018,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,65 - 74 Years,8.7
2018,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,75 Years & Over,5